Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano, Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE , Área Geral CINE 
583,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,Pública Federal,Universidade,Ativa,,54490,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,8512,Semestral,12.00 Semestres,80,,,,,,,,1072387,CAMPUS UFC SOBRAL,Av. Comandante Maurocelio Rocha Ponte,100,,Derby,000000002312908,Sobral,CE,01/03/2001,2000-06-02,4,2017,3,286,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
585,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,Pública Federal,Universidade,Ativa,,14234,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,7400,Semestral,12.0 Semestres,100,,,,,,,,1005565,Campus Universitário Reitor João David Ferreira Lima,Campus Universitário,s/n,,Trindade,000000004205407,Florianópolis,SC,01/03/1963,1960-04-27,5,2018,4,297,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1028,UEMS,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,Pública Estadual,Universidade,Ativa,,1313341,MEDICINA,Bacharelado,Educação Presencial,Em atividade,48,8880,Anual,6.0 Anos,48,,,,,,,,1075691,UNIDADE UNIVERSITÁRIA DE CAMPO GRANDE,AV. DOM ANTONIO BARBOSA,4155,,SANTO AMARO,000000005002704,Campo Grande,MS,27/01/2015,2014-10-09,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
24443,Faculdade AGES,Faculdade AGES de Medicina de Irecê,Privada com fins lucrativos,Faculdade ,Ativa,,1483759,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,9200,Semestral,12.00 Semestres,50,,,,,,,,1103722,Campus Principal,Rua Dr. Angelo Dourado,27,Prédio Anexo: Praça Goes Calmon, 33,Centro,000000002914604,Irecê,BA,04/06/2020,2020-03-10,,,,,,,,,,,,,,,,,,
24488,,Faculdade UNICESUMAR de Corumbá,Privada com fins lucrativos,Faculdade ,Ativa,,1485621,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,8289,Anual,6.00 Anos,50,,,,,,,,1105135,Corumbá - MS,Rua Dom Aquino,1037,- de 0823/824 a 1117/1118,Centro,000000005003207,Corumbá,MS,Não iniciado,2020-06-08,,,,,,,,,,,,,,,,,,
24550,ITPAC SANTA INÊS,FACULDADE ITPAC SANTA INES,Privada com fins lucrativos,Faculdade ,Ativa,,1487290,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,7218,Semestral,12.00 Semestres,0,,,,,,,,1106957,Campus Principal,CONTORNO DA BR 316,346,,VILA OLIMPICA,000000002109908,Santa Inês,MA,Não iniciado,2020-10-02,,,,,,,,,,,,,,,,,,
2787,FPP,FACULDADES PEQUENO PRÍNCIPE,Privada sem fins lucrativos,Faculdade ,Ativa,,1192237,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,9300,Semestral,12.0 Semestres,100,,,,,,,,1095611,Campus Avenida Iguaçu,Avenida Iguaçu,333,Campus Avenida Iguaçu - Lotes 339/369/435/110,Rebouças,000000004106902,Curitiba,PR,07/05/2014,2014-03-14,4,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
472,UNIGRANRIO,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Privada com fins lucrativos,Universidade,Ativa,,18605,MEDICINA,Bacharelado,Educação Presencial,Em atividade,198,8820,Semestral,12.0 Semestres,198,,,,,,,,657921,POLO NA SEDE,Rua Professor José de Souza Herdy,1160,POLO NA SEDE,Jardim Vinte e Cinco de Agosto,000000003301702,Duque de Caxias,RJ,22/04/1997,1997-03-12,4,2015,3,270,2016,3,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
472,UNIGRANRIO,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Privada com fins lucrativos,Universidade,Ativa,,75821,MEDICINA,Bacharelado,Educação Presencial,Em atividade,110,8820,Semestral,12.0 Semestres,110,,,,,,,,3061,UNIDADE BARRA DA TIJUCA/CAMPUS II - RIO DE JANEIRO,AV AIRTON SENA,3383,,tijuca,000000003304557,Rio de Janeiro,RJ,08/08/2007,2004-08-20,4,2018,3,256,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
21,PUCRS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,Privada sem fins lucrativos,Universidade,Ativa,,1879,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8370,Semestral,12.0 Semestres,120,,,,,,,,1006454,CENTRAL - PORTO ALEGRE,Av. Ipiranga,6681,,Partenon,000000004314902,Porto Alegre,RS,26/05/1970,1970-06-25,5,2018,4,357,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
699,UNIR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,Pública Federal,Universidade,Ativa,,51699,MEDICINA,Bacharelado,Educação Presencial,Em atividade,40,7983,Semestral,12.0 Semestres,40,,,,,,,,136746,UNIDADE SEDE PORTO VELHO - CAMPUS JOSÉ RIBEIRO FILHO,BR 364,Km 9,5,Zona Rural,s/n,000000001100205,Porto Velho,RO,05/08/2002,2002-01-18,4,2019,4,302,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
17565,FAHESP,FACULDADE DE CIÊNCIAS HUMANAS,EXATAS E DA SAÚDE DO PIAUÍ,Privada com fins lucrativos,Faculdade ,Ativa,,1180318,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,7402,Semestral,12.00 Semestres,80,,,,,,,,1058212,Campus Principal / FAHESP- Faculdade de Ciências Humanas, Exatas e da Saúde do Piauí,Avenida Evandro Lins e Silva,4436,,Sabiazal,000000002207702,Parnaíba,PI,30/12/2015,2015-12-14,4,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
466,UAM,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,Universidade,Ativa,,1399477,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,7460,Semestral,12.00 Semestres,75,,,,,,,,1081876,CAMPUS PIRACICABA,Avenida Rio das Pedras,1601,,Piracicamirim,000000003538709,Piracicaba,SP,06/08/2018,2018-05-14,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
208,UNAERP,UNIVERSIDADE DE RIBEIRÃO PRETO,Privada sem fins lucrativos,Universidade,Ativa,,1427419,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7605,Semestral,12.00 Semestres,120,,,,,,,,692522,GUARUJÁ,Avenida Dom Pedro I,3300,,ENSEADA,000000003518701,Guarujá,SP,25/03/2019,2019-02-12,4,2018,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
415,FCMSCSP,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,Privada sem fins lucrativos,Faculdade ,Ativa,,8554,MEDICINA,Bacharelado,Educação Presencial,Em atividade,180,9348,Anual,6.00 Anos,100,,,,,,,,686839,CAMPUS  - SÃO PAULO - VILA BUARQUE,RUA DOUTOR CESÁRIO MOTA JÚNIOR,61,11º ANDAR,VILA BUARQUE,000000003550308,São Paulo,SP,20/05/1963,1963-05-16,4,2018,4,359,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
513,UNIVALE,UNIVERSIDADE VALE DO RIO DOCE,Privada sem fins lucrativos,Universidade,Ativa,,1102360,MEDICINA,Bacharelado,Educação Presencial,Em atividade,58,9180,Semestral,12.0 Semestres,58,,,,,,,,33661,Campus Antonio Rodrigues Coelho,Rua Israel Pinheiro,2000,Campus Antônio Rodrigues Coelho,Universitário,000000003127701,Governador Valadares,MG,17/05/2016,2016-05-17,4,2011,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
16879,FMO,Faculdade de Medicina de Olinda,Privada com fins lucrativos,Faculdade ,Ativa,,1168313,MEDICINA,Bacharelado,Educação Presencial,Em atividade,200,7840,Semestral,12.0 Semestres,200,,,,,,,,1093640,Olinda-Bairro Novo,Rua Doutor Manoel de Almeida Belo,1333,,Bairro Novo,000000002609600,Olinda,PE,21/10/2015,2015-10-21,3,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1414,UniSL,CENTRO UNIVERSITÁRIO SÃO LUCAS,Privada com fins lucrativos,Centro Universitário,Ativa,Unificação de Mantidas,85652,MEDICINA,Bacharelado,Educação Presencial,Em atividade,182,7860,Semestral,12.00 Semestres,182,,,,,,,,658461,Campus 1,Rua Alexandre Guimarães,1927,CAMPUS  - PORTO VELHO - AREAL,Areal,000000001100205,Porto Velho,RO,08/07/2005,2005-06-14,4,2018,3,246,2016,3,2016,1,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
489,UNIFOA,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,Privada sem fins lucrativos,Centro Universitário,Ativa,,9988,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7930,Semestral,12.00 Semestres,120,,,,,,,,657929,CAMPUS  - VOLTA REDONDA - TRÊS POÇOS,Avenida Paulo Erlei Alves Abrantes,1325,,Três Poços,000000003306305,Volta Redonda,RJ,22/05/1968,1968-05-22,4,2018,3,280,2016,3,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1397771,MEDICINA,Bacharelado,Educação Presencial,Em atividade,170,8078,Semestral,12.0 Semestres,170,,,,,,,,1081807,CAMPUS OSASCO,Rua Dante Battiston,107,,Centro,000000003534401,Osasco,SP,14/08/2017,2017-08-02,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
596,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,Pública Federal,Universidade,Ativa,,1185076,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,7760,Semestral,12.00 Semestres,60,,,,,,,,1040101,Campus JK,MGT 367,5000,Campus JK,Alto do Jacuba,000000003121605,Diamantina,MG,31/03/2014,2013-12-12,4,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
3151,UNOCHAPECÓ,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,Privada sem fins lucrativos,Universidade,Ativa,,90847,MEDICINA,Bacharelado,Educação Presencial,Em atividade,45,8320,Semestral,12.0 Semestres,42,,,,,,,,659387,CAMPUS  - CHAPECÓ - EFAPI,Avenida Senador Attílio Fontana,591,E,EFAPI,000000004204202,Chapecó,SC,13/02/2006,2005-09-15,4,2011,3,246,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
