CO_IES,NO_IES,SG_IES,DS_CATEGORIA_ADM,NO_MUNICIPIO_CAMPUS,SG_UF_CAMPUS,CO_IES_CURSO,NO_CURSO,DS_GRAU,DS_TURNO,TP_MODALIDADE,DS_MOD_CONCORRENCIA,NU_PERCENTUAL_BONUS,QT_VAGAS_CONCORRENCIA,NU_NOTACORTE,QT_INSCRICAO
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,19,846.52,"1,016"
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,10,729.02,605
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,10,732.18,398
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,4,744.32,284
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,4,755.12,283
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,1,697.12,31
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,653.60,16
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo bônus,"Critério de Inclusão Regional (Bônus de 10%), de acordo com a Resolução nº 22/2015 - CONSUNI/UFAL, de 04 de maio de 2015.",10,0,820.01,752
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Arapiraca,AL,1257524,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,30,820.01,743
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,15,728.04,"1,054"
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,15,730.46,697
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,7,745.50,515
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,7,766.56,556
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,2,662.88,53
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,2,678.88,51
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,716.20,32
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,717.62,17
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Maceió,AL,13200,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,50,778.68,"4,223"
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,10,733.63,967
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,10,736.36,568
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,3,748.10,343
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,3,763.49,286
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,1,667.84,22
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,716.25,12
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo bônus,Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas,7.09,0,794.69,1017
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,Manaus,AM,389,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,28,794.69,"1,264"
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,6,724.92,376
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,6,724.14,293
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,744.00,92
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,748.46,79
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,1,696.62,22
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo bônus,"Será atribuído um bônus de 20% (vinte por cento) sobre o resultado obtido no ENEM  aos candidatos que cursaram integralmente o Ensino Médio ou equivalente em Instituições de ensino regulares, públicas ou privadas, situadas no Estado do Amapá ou no Pará, especificamente, na Mesorregião do Marajó ou ainda no Município de Almeirim",20,0,906,915
830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Pública Federal,Macapá,AP,1029763,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,15,906.00,363
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,12,738.44,611
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,12,736.53,451
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,3,756.65,383
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,3,767.69,248
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,4,681.14,30
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,4,689.78,37
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,700.18,18
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,704.14,13
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo reserva de vagas,"Candidato (s) que comprovem ter cursado e concluído todo o Ensino Médio em escolas, públicas ou privadas, localizadas nos municípios baianos distantes 150 quilômetros de qualquer campus da UFOB.",0.00,24,757.25,783
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Pública Federal,Barreiras,BA,1292725,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,16,784.46,"2,014"
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Pública Estadual,Jequié,BA,1146605,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo reserva de vagas,"autodeclarados negros (somatório das categorias pretos e pardos, segundo classificação étnico-racial adotada pelo IBGE) que tenham cursado o ensino fundamental 2 (do 6º ao 9º ano) e ensino medio completo ( incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil. Vedado aos portadores de diploma de nível superior",0.00,4,745.02,202
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Pública Estadual,Jequié,BA,1146605,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo reserva de vagas,"com procedência de no mínimo sete anos de estudos regulares ou que tenham realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil, compreendendo parte do ensino fundamental (6º ao 9º ano) e Ensino Médio  completo (incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente.",0.00,2,765.57,164
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Pública Estadual,Jequié,BA,1146605,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,7,789.77,738
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,7,721.46,377
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,7,724.78,292
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,2,747.58,147
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,2,759.70,149
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,1,634.98,11
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,675.48,54
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pública Federal,Paulo Afonso,BA,1202588,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,20,775.42,"1,421"
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,6,726.02,379
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,5,721.34,185
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,738.50,77
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,752.40,87
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,1,681.22,10
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,694.12,13
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo reserva de vagas,"com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial",0.00,1,759.70,33
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pública Federal,Santo Antônio de Jesus,BA,1202547,MEDICINA,Bacharelado,Integral,Ampla concorrência,Ampla concorrência,0.00,14,776.82,970
